,Topic,For_Info
0,عموم مردم ایران که در شهر و یا محله خود با معظلات فراوان ساخت و ساز غیر مجاز مواجه هستند,6
1,عموم ملت ایران,18
2,جمعی از حامیان جنگل‌ها و مراتع,0
3,جمعی از شرکت کنندگان آزمون بورد داخلی 1403,-1
4,جمعی از واردکنندگان خودروهای تجاری و مالکین و رانندگان زحمت‌کش کامیون‌های وارداتی,39
5,جمعی از دانشجویان پزشکی و دندانپزشکی,-1
6,جمعی از دانش آموزان و والدین کنکور 1403,88
7,جمعی از دانشجویان دانشگاه‌های آزاد اسلامی,24
8,جمعی از فرهنگیان بازنشته سال ۱۴۰۰ وجاماندگان در اعتراض به رتبه‌بندی و فرهنگیان فاقد رتبه۱۴۰۰,-1
9,جمعی از کارکنان وزارت فرهنگ و ارشاد اسلامی,-1
10,جمعی از کارمندان دانشگاه‌های علوم پزشکی و خدمات بهداشتی کشور,-1
11,جمع کثیری از کارمندان شرکت‌های برق منطقه‌ای کشور,-1
12,جمعی از داوطلبان کنکور,57
13,دانشجویان پزشکی و دندان پزشکی,78
14,جمعی از کارمندان امور مالیاتی کشور,17
15,جمعی از دانشجویان و فارغ‌التحصیلان رشته‌های مختلف علوم پزشکی سراسر کشور,-1
16,مشتریان مدیران خودرو,19
17,جمعی از دانش‌آموزان، فرهنگیان و والدین,-1
18,جمعی از اعضای هیات علمی دانشگاه‌ها,52
19,جمعی از اعضا نظام مهندسی استان سیستان و بلوچستان,-1
20,عموم مردم,107
21,خانم‌های کارمند,73
22,متقاضیان آزمون کیفیت‌بخشی,1
23,جمعی از نیروهای شرکتی سازمان تامین اجتماعی,125
24,جمعی از مسئولین فنی و موسسین محترم مراکز MMT,-1
25,جمعی از مردم,-1
26,جمعی از نیروهای حق تدریس غیر انتفاعی,-1
27,حامیان ایشان,0
28,مدرسین مدعو دانشگاه‌ها و مراکز عالی (پیام نور- دولتی -آزاد و غیر انتفاعی),-1
29,دانشجویان سراسر کشور,12
30,رانندگان خودروهای استیجاری,33
31,جمعی از سیمبانان و نیروهای خارج از چارت و غیر رسمی شرکت توزیع,-1
32,No from info found,59
33,افراد دارای معلولیت,-1
34,جمعی از بیمه‌شدگان، مستمری بگیران، خانواده بیمه شدگان و کارگزاران رسمی صندوق,-1
35,عموم مردم شریف ایران,18
36,جمعی از رزمندگان,5
37,جمعی از پزشکان,5
38,بازنشستگان دانشگاه فرهنگیان,-1
39,مهندسین فعال در صنعت ساختمان,-1
40,جمعی از خبرنگاران,5
41,جمعی از داوطلبان جا مانده از پذیرش در دانشگاه فرهنگیان به دلیل عدم صدور کارنامه جدید,-1
42,جمعی از دانشجویان دکتری دانشگاه آزاد اسلامی,24
43,جمعی از رانندگان ترانزیت بین المللی,-1
44,جمعی از پزشکان عمومی,-1
45,جمعی از کارشناسان حقوقی، موسسات حقوقی، وکلا و عموم مردم,130
46,جمعی از فرهنگیان، دانشجویان وبازنشستگان فرهنگی شهرستان محروم کوهرنگ,-1
47,کلیه اقشار مردم در قامت بیمه‌شدگان و بازنشستگان صندوق تأمین اجتماعی,8
48,جمعی از کارکنان دولتی و شهرداری‌ها,17
49,جمعی از کارکنان سازمان هواشناسی کشور و خانوده های ایشان و عموم مردم و علاقمندان به هواشناسی,-1
50,عموم والدین و شهروندان ایرانی,-1
51,جمعی از بازنشستگان شرکت مخابرات ایذان,-1
52,جمعی از متقتضیان و قبول شدگان آزمون استخدامی سازمان‌های دولتی و خصوص,-1
53,جمعی از هواداران باشگاه پرسپولیس,92
54,جمعی از بازنشستگان صندوق فولاد,-1
55,جمعی از سهامداران بورسی و کارکنان شرکت‌های واگذاری,98
56,جمعی از فرهنگیان,5
57,جمعی از دانشجویان دانشگاه آزاد و اساتید,24
58,جمعی از کارگران و کارکنان شرکت مخابرات,17
59,جمعی از کارکنان رسمی وزارت نفت,17
60,جمعی از اساتید و کارکنان و بازنشستگان دانشگاه آزاد,24
61,جمعی از هنرمندان سراسر ایران,-1
62,جمعی از بیماران ناهنجاری‌های عروقی لنفاژیوم، AVM، همانژیوم، پورت واین,27
63,جمعی از دانشجو معلمان ورودی 99,-1
64,عموم مردم و کلیه اقوام کشور,-1
65,جمعی از کارگران شرکت ملی مس و جامعه کارگری ایران,17
66,جمعی از ناظرین گاز استان تهران,-1
67,جمعی از فرهنگیان و دانش‌آموزان,62
68,بازنشستگان,2
69,بازنشستگان تامین اجتماعی,8
70,جمعی از اساتید آمار دانشگاه‌ها و کارشناسان آمار دستگاه‌های اجرایی کشور,-1
71,تاکسیرانان و عموم مردم,31
72,جمعی از شناگران. والدین شناگران. مربی‌ها و سرپرست تیم‌ها,80
73,جمعی از کارکنان وزارت نفت,17
74,جمعی از سردفتران و دفتریاران و کارمندان دفاتر اسناد رسمی,-1
75,جمعی از داروسازان,5
76,جمعی از کشاورزان و مالکان اراضی کشاورزی بدون سند رسمی,-1
77,جمعی از کارکنان سازمان آموزش فنی و حرفه‌ای کشور و ذی‌نفعان,82
78,جمعی از بیماران پیوند ( خاص و صعب العلاج ),27
79,جمعی از معلمان و فرهنگیان,62
80,رانندگان سنگین ناوگان حمل و نقل عمومی کشور,39
81,کارمندان دولت و فرهنگیان,13
82,جامعه لر و بختیاری,81
