,Target,Topics
0,بسمه تعالی ریاست محترم مجلس شورای اسلامیریاست محترم قوه قضائیهریاست محترم جمهور با سلام و احترام، پد,-1
1,رئیس محترم قوه قضائیهدادستان محترم کل کشوررئیس محترم مجلس سلام رسیدگی به پرونده شکایات مجلس و مردم ا,-1
2,ریاست محترم قوه قضائیه با سلام و احترام؛ فواید جنگل و مرتع بر هیچ کس پوشیده نیست، از خنک نگه داشتن ز,-1
3,جناب آقای دکتر رضا ظفرقندیوزیر محترم بهداشت درمان و آموزش پزشکی با سلام و احترام و ضمن عرض تبریک انت,1
4,وزیر محترم راه و شهرسازیسرکار خانم فرزانه صادق مالواجرد با سلام و احترام؛ اینجانب مالکین و شرکت‌های ,8
5,بسمه تعالی امام صادق (ع): «هر مسلمانی که حاجت مسلمانی را روا کند، خدای تبارک و تعالی به او خطاب کند ,41
6,رئیس محترم سازمان سنجش آموزش کشور با سلام، احتراما به استحضار می‌رساند که در کنکور امسال، بی‌عدالتی ,10
7,رئیس محترم جمهوری اسلامی ایران وزیر محترم علوم، تحقیقات و فناوری رئیس محترم دانشگاه آزاد اسلامی با س,-1
8,وزیر محترم آموزش و پرورش با سلام؛ عرض تبریک به انتصاب بجا و شایسته شما جناب آقای کاظمی؛ احتراماً به ,6
9,وزیر محترم فرهیخته و ارجمند فرهنگ و ارشاد اسلامی با درود و احترام؛ ضمن عرض تبریک و خرسندی از انتخاب ,-1
10,رئیس محترم جمهور وزیر محترم بهداشت سلام؛ با عنایت به اینکه حدود یک سال از تصویب و ابلاغ ضوابط اجرایی,-1
11,وزیر محترم نیرو با سلام، احتراما به اطلاع می‌رساند صنعت برق به‌عنوان یکی از صنایع زیرساختی مهم، پیشر,-1
12,بسم الله الرحمن الرحیم رئیس محترم جمهوری اسلامی ایران ریاست محترم سازمان سنجش آموزش کشور با سلام و ا,-1
13,امام صادق (ع): «هر مسلمانی که حاجت مسلمانی را روا کند، خدای تبارک و تعالی به او خطاب کند که ثواب تو ,41
14,رئیس‌جمهور محترم وزیر محترم اقتصاد با سلام؛ ما کارمندان سازمان امور مالیاتی کشور با یادآوری وعده انت,-1
15,وزیر محترم بهداشت، درمان و آموزش پزشکیجناب آقای دکتر ظفرقندی با سلام؛ ما، به عنوان جمعی از پزشکان، د,1
16,وزیر محترم صنعت، معدن و تجارت با سلام و احترام، با توجه به ثبت‌نام و تکمیل وجه خودرو در شرکت مدیران ,76
17,بسمه تعالی رئیس محترم سازمان سنجش و ارزشیابی نظام آموزشی کشور با سلام؛ همان‌گونه که مستحضرید، معدل ن,-1
18,جناب آقای دکتر سیمایی صراف وزیر محترم علوم، تحقیقات و فناوری سلام با عنایت به تجربه و توان مدیریتی د,7
19,بسمه تعالی ریاست محترم سازمان نظام مهندسی استان سیستان و بلوچستانجناب آقای مهندس جمشیدزهی با سلام و ,53
20,رئیس محترم جمهور وزیر محترم نیرو با سلام اینجانبان جمعی از مردم خواستار پیگیری قطعی برق و قطع‌های نا,-1
21,آقای دکتر پزشکیانرئیس جمهور محترم با سلام و خسته نباشید، با توجه به تورمی که در جامعه حاکم است و با ,-1
22, وزیر محترم آموزش و پرورش با سلام و عرض ادب؛ با توجه به اینکه عده‌ی زیادی با اختلاف نمره‌های صدمی مر,4
23,ریاست محترم جمهورجناب آقای دکتر پزشکیان با سلام و عرض ادب و احترام؛ به استحضار می‌رساند پرسنل شرکتی ,0
24,معاون محترم غذا و داروی دانشگاه‌های علوم پزشکی تهران و شهید بهشتی با سلام؛ احتراما مراتب نارضایتی مد,9
25,وزیر محترم کار و رفاه با درود فراوان؛ اینجانبان جمعی از بازرسان گاز سراسر کشور از همه دست‌اندرکاران ,-1
26,وزیر محترم آموزش و پرورش با سلام و تقدیم احترام؛ با توجه به اینکه یکی از وعده‌های انتخاباتی ریاست مح,-1
27,رئیس محترم جمهور با احترام و ادب، نظر به اینکه سیاست کشور نیاز به فردی آشنا به الفبای سیاسی و تجربه ,-1
28,جناب آقای دکتر پزشکیانریاست جمهور محترم ایران جناب آقای دکتر محمدباقر قالیبافریاست محترم مجلس شورای ,16
29,به نام خدا آقای دکتر مسعود پزشکیان رئیس‌جمهور محترم جمهوری اسلامی ایران با سلام و احترام، ما، جمعی ا,0
30,رئیس محترم دفتر مقام معظم رهبری با اهدای سلام و عرض ادب به استحضار حضرتعالی می‌رسانیم ما دارندگان و ,62
31,وزیر محترم نیرو مدیر محترم منابع انسانی شرکت توزیع نیروی برق با سلام، احتراما به اطلاع می‌رساند، نیر,-1
32,ریاست جمهوری محترم جمهوری اسلامی ایران با سلام؛ نظر به توجه شما به خواست و نظر مردم و اعتقادتان به ا,0
33,ریاست محترم جمهوری اسلامی ایران ریاست محترم مجلس وزیر محترم تعاون، کار و رفاه اجتماعی با سلام و احتر,29
34,وزیر محترم تعاون، کار و رفاه اجتماعی جناب آقای دکتر میدری با سلام؛ تاسیس صندوق بیمه اجتماعی روستائیا,26
35,به نام خداوندی که انسان را برابر آفرید جز به تقوا جناب آقای دکتر مسعود پزشکیان رئیس محترم جمهور سلام,-1
36,ریاست محترم جمهوری اسلامی ایران معاونت محترم رئیس جمهور رئیس محترم سازمان بنیاد شهید و امور ایثارگرا,-1
37,وزیر محترم بهداشت، درمان و آموزش پزشکی با سلام، احتراما به استحضار می‌رساند طبق ماده‌ی ۳ قانون معافی,1
38,(بازنشستگان تجلی تجربه و آیینه شاغلین هستند) جناب آقای دکتر برزویی ریاست محترم دانشگاه فرهنگیان احتر,-1
39,وزیر محترم راه و شهرسازی سلام و احترام ما جمعی از مهندسین فعال در صنعت ساختمان کشور، با توجه به شرای,-1
40,بسمه تعالی وزیر محترم راه و شهرسازی با سلام و احترام، ما، جمعی از خبرنگاران سراسر کشور، این نامه را ,20
41,ریاست محترم جمهور رئیس و نمایندگان محترم مجلس شورای اسلامی وزیر محترم آموزش و پرورش ریاست محترم سازم,15
42,وزیر محترم علوم، تحقیقات و فناوری با سلام؛ احتراما به اطلاع می‌رساند تورم و گرانی‌های اخیر فشار زیاد,7
43,رئیس محترم شورای نگهبان رئیس جمهور محترم رئیس محترم مجلس شورای اسلامی وزیر محترم آموزش و پرورش رئیس ,15
44,رهبر معظم انقلاب رئیس‌جمهور محترم ایران وزیر محترم امور خارجه ریاست محترم کنسولگری ترکیه در تهران ری,43
45,بسمه تعالی وزیر محترم بهداشت، درمان و آموزش پزشکی رئیس محترم سازمان نظام پزشکی نمایندگان محترم عضو ک,52
46,هیأت محترم عمومی دیوان عدالت اداری رئیس محترم سازمان ثبت اسناد و املاک کشور سلام؛ احتراما به اطلاع م,-1
47,ریاست محترم سازمان سنجش کشور سلام؛ به استحضار می‌رساند شهرستان محروم کوهرنگ در استان چهارمحال و بختی,-1
48,ریاست محترم جمهوری اسلامی ایران سلام علیکم؛ همان‌طور که مستحضر هستید، اتوبان تهران به قزوین یکی از ش,0
49,وزیر محترم نفت جمهوری اسلامی ایران با سلام و تحیات؛ احتراماً با توجه به اینکه اینجانبان، جمع کثیری ا,-1
50,ریاست محترم جمهوری اسلامی ایرانجناب آقای دکتر پزشکیان وزیر محترم تعاون، کار و رفاه اجتماعیجناب آقای ,155
51,رئیس جمهور محترم جناب آقای دکتر پزشکیان سلام احتراما همان‌طور که مستحضرید، بسیاری از گره‌ها و مشکلات,0
52,جناب آقای دکتر پزشکیانرئیس جمهور منتخب ایران اسلامی با سلام، احتراما؛ ما جمعی از کارکنان سازمان هواش,0
53,جناب آقای اسکندر مومنیوزیر محترم کشور جناب آقای عباس عراقچیوزیر محترم امور خارجه جناب آقای محمدباقر ,82
54,جناب آقای دکتر مسعود پزشکیان، رئیس محترم جمهوری اسلامی ایران با سلام و احترام، احتراما به اطلاع می‌ر,0
55,بنام خداوند بخشنده مهربان لایُحِبُّ اللَّهُ الْجَهْرَ بالسُّوءِ مِنَ الْقَوْلِ إِلَّا مَنْ ظُلِمَ وَ,22
56,به نام یکتای بی‌همتا مدیرعامل محترم بانک شهر با سلام و احترام؛ همان‌طور که اطلاع دارید، باشگاه مردمی,-1
57,ریاست محترم جمهور با سلام؛ اخیراً صندوق بازنشستگی فولاد قرارداد بیمه درمان بازنشستگان را با شرکت بیم,33
58,مدیریت محترم سازمان بورس ایران با سلام؛ مبنی بر حمایت از سهامداران حقیقی و حقوقی و رشد شاخص بورس، خو,99
59,وزیر محترم آموزش و پرورش با سلام؛ در پی گذشت ۱۱ ماه از تبدیل وضعیت دانشجومعلمان ورودی ۹۸ دانشگاه فره,10
60,ریاست محترم دانشگاه آزاد اسلامیجناب آقای دکتر محمد طهرانچی با سلام و عرض ادب؛ همان‌گونه که واقف می‌ب,39
61,بسم الله الرحمن الرحیم رئیس جمهور محترم وزیر محترم ارتباطات با سلام؛ ما مجموع نیروهای شرکتی شرکت مخا,-1
62,وزیر محترم نفت با سلام و احترام؛ همان‌طور که مستحضر هستید، سرمایه انسانی هر شرکت موثرترین دارایی شرک,-1
63,وزیر محترم آموزش و پرورش با سلام؛ با احترام به استحضار می‌رساند که در روند بررسی درخواست‌های انتقالی,10
64,رئیس جمهور محترم جمهوری اسلامی ایرانجناب آقای مسعود پزشکیان سلام علیکم؛ با احترام اینجانبان به‌عنوان,0
65,به نام خدا ریاست محترم جمهورآقای دکتر پزشکیان با سلام و احترام؛ با توجه به شکاف فزاینده مشکلات معیشت,0
66,وزیر محترم فرهنگ و ارشاد اسلامی دولت چهاردهمجناب آقای دکتر صالح شریعتی با درود و احترام؛ نخست، تبریک,-1
67,ریاست محترم جمهوری اسلامی ایران ریاست محترم مجلس شورای اسلامی وزیر محترم بهداشت، درمان و آموزش پزشکی,52
68,وزیر محترم آموزش و پرورش با سلام و احترام؛ به استحضار می‌رساند، ما دانشجومعلمان ورودی ۹۹ با وجود اتم,4
69,"ریاست محترم جمهور سلام؛ تاسیس اولین دولت مجازی و مردمی از پایین به بالا تحت عنوان ""وفاق، اتحاد و رفا",0
70,وزیر محترم کار و رفاه اجتماعیجناب آقای مهندس احمد میدری با سلام، متاسفانه وزارت کار در سال‌های گذشته,26
71,وزیر محترم راه و شهرسازی سرکار خانم دکتر فرزانه صادق مالواجرد با سلام؛ انتصاب شایسته جنابعالی را تبر,8
72,ریاست محترم جمهور رییس و نمایندگان محترم مجلس شورای اسلامی وزیر محترم آموزش و پرورش ریاست محترم سازم,15
73,جناب آقای دکتر میدری وزیر محترم تعاون، کار و رفاه اجتماعی، با سلام، احتراما ضمن عرض تبریک جهت رأی اع,26
74,جناب آقای دکتر پزشکیان رئیس جمهور محترم با سلام و تشکر از بذل توجه جنابعالی در حمایت از قشر زحمتکش ب,-1
75,جناب آقای دکتر پورمحمدی رئیس محترم سازمان برنامه و بودجه کشور با عرض سلام و احترام؛ با عرض تبریک انت,112
76,رئیس محترم پلیس راهنمایی و رانندگی سلام و احترام؛ با توجه به دغدغه‌های جدی قشر تاکسی‌داران و مردم عز,-1
