,Topic,Count,Name,Representation,Representative_Docs
0,-1,2338,-1_از_جمعی_فرهنگیان_دانشجویان,"['از', 'جمعی', 'فرهنگیان', 'دانشجویان', 'های', 'کشور', 'مردم', 'دانش', 'شهرستان', 'کارکنان']","['جمعی از فرهنگیان و بازنشستگان', 'جمعی از کارگران، بازنشستگان، عموم مردم', 'جمعی از دانشجویان']"
1,0,520,0_محیط_زیست_حامیان_دوستداران,"['محیط', 'زیست', 'حامیان', 'دوستداران', 'حیوانات', 'فعالان', 'میراث', 'فعالین', 'طبیعت', 'فرهنگی']","['حامیان محیط زیست و دوستداران حیوانات', 'حامیان حیوانات و دوستداران محیط زیست', 'حامیان و دوستداران حیوانات و محیط زیست']"
2,1,157,1_آزمون_داوطلبان_داوطلبین_کنکور,"['آزمون', 'داوطلبان', 'داوطلبین', 'کنکور', 'استخدامی', 'کنندگان', '۱۴۰۲', 'دستیاری', 'شدگان', 'وکالت']","['داوطلبان آزمون', 'داوطلبان آزمون استخدامی', 'داوطلبان آزمون\u200cهای استخدامی']"
3,2,138,2_سواران_سربازمعلمان_ها_۱۴۰۰,"['سواران', 'سربازمعلمان', 'ها', '۱۴۰۰', 'برداران', 'کنکوری', 'طرحی', 'پرستاران', 'مستأجران', 'بهورزان']","['نقشه\u200cبرداران سیماک', 'دوچرخه\u200cسواران', 'دوچرخه\u200cسواران قمی']"
4,3,128,3_شرکتی_نیروهای_قراردادی_شهرداری,"['شرکتی', 'نیروهای', 'قراردادی', 'شهرداری', 'کارکنان', 'پرسنل', 'زحمتکش', 'بانک', 'پیمانکاری', 'بانکی']","['نیروهای شرکتی و قراردادی', 'کارکنان قراردادی و شرکتی شهرداری\u200cها', 'نیروهای قراردادی و شرکتی شهرداری\u200cها']"
5,4,123,4_درمان_بهداشت_کادر_پرستاران,"['درمان', 'بهداشت', 'کادر', 'پرستاران', 'پزشکان', 'کارشناسان', 'وزارت', 'درمانی', 'بهداشتی', 'عمل']","['پرستاران و کادر بهداشت و درمان', 'کادر بهداشت و درمان', 'کارکنان کادر درمان وزارت بهداشت']"
6,5,105,5_جمعی_از_انقلاب_مجموعه,"['جمعی', 'از', 'انقلاب', 'مجموعه', 'نانوایان', 'مهندسان', 'نیروهای', 'آسیب', 'مستاجر', 'قاین']","['جمعی از بازنشستگان', 'جمعی از فرهنگیان', 'جمعی از مجموعه نیروهای انقلاب']"
7,6,102,6_در_شاغل_که_شرف,"['در', 'شاغل', 'که', 'شرف', 'دولتی', 'ادارات', 'خصوصی', 'سراسر', 'هستند', 'معاونت']","['نیروهای شرکتی شاغل در ادارات دولتی', 'جمعی از پزشکان شاغل در بخش خصوصی', 'جمعی از نیروهای شاغل در بخش خصوصی']"
8,7,101,7_مردم_نجف_سوختکش_نرماشیر,"['مردم', 'نجف', 'سوختکش', 'نرماشیر', 'اسکر', 'اشکور', 'بجستان', 'هودیان', 'دروار', 'بیضا']","['مردم نجف\u200cآباد و حومه', 'مردم نجف\u200cآباد', 'مردم']"
9,8,85,8_تأمین_اجتماعی_تامین_کشوری,"['تأمین', 'اجتماعی', 'تامین', 'کشوری', 'لشکری', 'بازنشستگان', 'بیمه', 'مستمری', 'بگیران', 'شدگان']","['بازنشستگان کشوری، لشکری و تامین اجتماعی', 'بازنشستگان کشوری، لشکری، تامین اجتماعی', 'بازنشستگان کشوری و لشکری و تأمین اجتماعی']"
