,Topic,Count,Name,Representation,Representative_Docs
0,-1,3638,-1_در_به_سلام_رئیس,"['در', 'به', 'سلام', 'رئیس', 'با', 'ریاست', 'از', 'محترم', 'کشور', 'توجه']","['بسمه تعالی رئیس محترم جمهوری اسلامی ایران رئیس محترم سازمان اداری و استخدامی کشور با سلام و احترام، ', 'بسمه تعالی رئیس محترم جمهور سلام و عرض ادب احتراما به استحضار عالی می\u200cرساند، اینجانبان امضا کنندگان ', 'بسم الله الرحمن الرحیم ریاست محترم جمهور جناب حجت\u200cالاسلام سید ابراهیم رئیسی با سلام، احتراماً در است']"
1,0,310,0_پزشکیان_مسعود_جمهور_منتخب,"['پزشکیان', 'مسعود', 'جمهور', 'منتخب', 'ایران', 'دکتر', 'تبریک', 'جمهوری', 'احترام', 'روحانیریاست']","['ریاست محترم جمهوری اسلامی ایرانجناب آقای دکتر مسعود پزشکیان با سلام و احترام؛ اینجانبان به استحضار م', 'جناب دکتر مسعود پزشکیان رئیس محترم جمهوری اسلامی ایران با سلام و احترام به استحضار می\u200cرساند ما جمعی ', 'جناب آقای دکتر مسعود پزشکیان، رئیس محترم جمهوری اسلامی ایران با سلام و احترام، احتراما به اطلاع می\u200cر']"
2,1,301,1_درمان_بهداشت_پزشکی_عین,"['درمان', 'بهداشت', 'پزشکی', 'عین', 'آموزش', 'نمکیوزیر', 'اللهیوزیر', 'سعید', 'اللهی', 'نمکی']","['جناب آقای دکتر عین\u200cاللهی\u200cوزیر محترم بهداشت، درمان و آموزش پزشکی با سلام و احترام به استحضار می\u200cرساند', 'بسمه تعالی جناب آقای دکتر نمکیوزیر محترم بهداشت، درمان و آموزش پزشکی با سلام احتراما به استحضار می\u200cر', 'جناب آقای دکتر سعید نمکیوزیر محترم وزارت بهداشت، درمان و آموزش پزشکی با سلاماحتراماً به استحضار می\u200cر']"
3,2,268,2_قالیبافریاست_محمدباقر_مجلس_شورای,"['قالیبافریاست', 'محمدباقر', 'مجلس', 'شورای', 'قالیباف', 'اسلامی', 'قالیبافرئیس', 'دکتر', 'جناب', 'استحضار']","['جناب آقای دکتر محمدباقر قالیباف رئیس محترم مجلس شورای اسلامی با سلام و احترام؛ به استحضار می\u200cرساند پ', 'جناب آقای دکتر محمدباقر قالیبافریاست محترم مجلس شورای اسلامی با سلاماحتراماً به استحضار می\u200cرساند این', 'جناب آقای محمدباقر قالیبافریاست محترم مجلس شورای اسلامی با سلامبا توجه به اینکه نمایندگان محترم مجلس']"
4,3,191,3_نمایندگان_مجلس_شورای_اسلامی,"['نمایندگان', 'مجلس', 'شورای', 'اسلامی', 'رئیس', 'احترام', 'قضائیه', 'که', 'سلام', 'رئيس']","['رئيس و نمایندگان محترم مجلس شورای اسلامی رئیس محترم جمهور سلام احتراما به اطلاع می\u200cرساند ما کارکنان ', 'به نام خدا رئیس و نمایندگان محترم مجلس شورای اسلامی سلام و احترام؛ ما مردم شریف ایران از نمایندگان م', 'ریاست محترم قوه قضائیه نمایندگان محترم مجلس شورای اسلامی  با سلام احتراماً به استحضار می\u200cرساند شرکت ']"
5,4,160,4_پرورش_آموزش_وزیر_آموزان,"['پرورش', 'آموزش', 'وزیر', 'آموزان', 'استخدامی', 'دانش', 'فرهنگیان', 'اداری', 'آزمون', 'رشته']","['وزیر محترم آموزش و پرورش رئیس محترم سازمان اداری و استخدامی با سلام و عرض ادب، به استحضار می\u200cرساند ب', 'وزیر محترم آموزش و پرورش رئیس محترم سازمان امور اداری و استخدامی با سلام و عرض ادب با توجه به اینکه ', 'بسمه تعالی وزیر محترم آموزش و پرورش رئیس محترم سازمان اداری و استخدامی با سلام و احترام؛ به استحضار ']"
6,5,159,5_شهرسازیجناب_راه_سیستان_قاسمیوزیر,"['شهرسازیجناب', 'راه', 'سیستان', 'قاسمیوزیر', 'کشورجناب', 'مهندس', 'موهبتیاستاندار', 'آقای', 'استان', 'بلوچستانجناب']","['جناب آقای محمد اسلامیوزیر محترم راه و شهرسازیجناب آقای احمدعلی موهبتیاستاندار محترم سیستان و بلوچستا', 'جناب آقای مهندس اسلامیوزیر محترم راه و شهرسازیجناب آقای موهبتیاستاندار محترم سیستان و بلوچستان با سل', 'جناب آقای محمد اسلامیوزیر محترم راه و شهرسازیجناب آقای احمدعلی موهبتیاستاندار محترم استان سیستان و ب']"
7,6,151,6_پرورش_حاجی_میرزاییوزیر_محسن,"['پرورش', 'حاجی', 'میرزاییوزیر', 'محسن', 'آموزش', 'صحرایی', 'نوریوزیر', 'کاظمیسرپرست', 'دانش', 'پرورشبا']","['به نام خدا جناب آقای محسن حاجی\u200cمیرزاییوزیر محترم آموزش و پرورش با سلام و احترامبه استحضار می\u200cرساند ن', 'به نام خدا جناب آقای محسن حاجی\u200cمیرزاییوزیر محترم آموزش و پرورش با سلام و احترامبه استحضار می\u200cرساند م', 'باسمه تعالی جناب آقای محسن حاجی\u200cمیرزاییوزیر محترم آموزش و پرورش با سلاماحتراماً به استحضار جنابعالی ']"
8,7,137,7_تحقیقات_علوم_فناوری_زلفی,"['تحقیقات', 'علوم', 'فناوری', 'زلفی', 'گلوزیر', 'غلامیوزیر', 'فناوریبا', 'گل', 'منصور', 'محمدعلی']","['جناب آقای محمد علی زلفی\u200cگل وزیر محترم وزیر علوم، تحقیقات و فناوری  با سلام و عرض ادب اینجانبان، جمعی', 'وزیر محترم وزارت علوم، تحقیقات و فناوری جناب آقای دکتر محمدعلی زلفی گل با سلام احتراماً به استحضار ج', 'جناب آقای دکتر زلفی\u200cگلوزیر محترم علوم، تحقیقات و فناوری با سلام و احترامهمانگونه که مستحضرید دانشگاه']"
9,8,128,8_شهرسازی_راه_جاده_قاسمیوزیر,"['شهرسازی', 'راه', 'جاده', 'قاسمیوزیر', 'اسلامیوزیر', 'مهندس', 'شهرسازیبا', 'بذرپاش', 'رساند', 'استحضارعالی']","['جناب آقای محمد اسلامیوزیر محترم راه و شهرسازی سلام علیکمبا احترام به استحضارعالی می\u200cرساند جاده روستا', 'جناب آقای محمد اسلامیوزیر محترم راه و شهرسازی سلام علیکمبا احترام به استحضارعالی می\u200cرساند جاده منطقه', 'جناب آقای محمد اسلامیوزیر محترم راه و شهرسازی سلام علیکمبا احترام به استحضارعالی می\u200cرساند جاده روستا']"
10,9,111,9_دانشگاه_علوم_دانشکده_پزشکی,"['دانشگاه', 'علوم', 'دانشکده', 'پزشکی', 'واحد', 'آموزشی', 'تعالی', 'دانشجویی', 'باسمه', 'آزاد']","['باسمه تعالی جناب آقای دکتر نعمت\u200cبخشریاست محترم دانشکده پزشکی دانشگاه علوم پزشکی اصفهان با عرض سلام و', 'باسمه تعالی معاونت محترم آموزشی دانشگاه علوم پزشکی اصفهان معاونت محترم درمان دانشگاه علوم پزشکی اصفه', 'بسمه تعالی شورای محترم آموزش دانشکده پزشکی دانشگاه علوم پزشکی کرمانشاه با سلامضمن عرض احترام و خسته ']"
11,10,97,10_پرورش_در_آموزش_کنکور,"['پرورش', 'در', 'آموزش', 'کنکور', 'وزیر', 'معدل', 'مدارس', 'استخدامی', 'سراسری', 'اینکه']","['وزیر محترم آموزش و پرورش سلام با توجه به تغییرات اخیر در کنکور سراسری با شرط معدل و تأثیر قطعی آن در', 'وزیر محترم آموزش و پرورش رئیس محترم سازمان اداری و استخدامی با سلام و عرض ادب با توجه به اینکه در سا', 'وزیر محترم آموزش و پرورش رئیس محترم سازمان اداری و استخدامی با سلام و عرض ادب با توجه به اینکه در سا']"
12,11,96,11_پزشکیجناب_عین_درمان_بهداشت,"['پزشکیجناب', 'عین', 'درمان', 'بهداشت', 'اللهیوزیر', 'نمکیوزیر', 'آموزش', 'بهرام', 'الهیوزیر', 'سعید']","['جناب آقای عین\u200cاللهیوزیر محترم بهداشت، درمان و آموزش پزشکیجناب آقای عبدالملکیوزیر محترم تعاون، کار و ', 'جناب آقای عین\u200cاللهیوزیر محترم بهداشت، درمان و آموزش پزشکیجناب آقای موسویمدیرعامل محترم سازمان تأمین ', 'جناب آقای عین\u200cاللهیوزیر محترم بهداشت، درمان و آموزش پزشکیجناب آقای شهریاریرئیس محترم کمیسیون بهداشت ']"
13,12,95,12_دانشجویان_دانشگاه_پیام_نور,"['دانشجویان', 'دانشگاه', 'پیام', 'نور', 'آزاد', 'جمعی', 'مقطع', 'رشته', 'واحد', 'کارشناسی']","['باسمه تعالی معاون محترم آموزشی دانشگاه پیام نور استان قم با سلاماینجانبان دانشجویان دانشگاه پیام نور', 'رئیس محترم دانشگاه پیام نور با سلام، اینجانبان دانشجویان دانشگاه پیام نور، به\u200cویژه دانشجویان خانم که', 'جناب آقای ابراهیم تقی\u200cزاده ریاست محترم دانشگاه پیام نور با سلام ما جمعی از دانشجویان دانشگاه پیام نو']"
14,13,93,13_استاندار_استان_عمومی_مازندران,"['استاندار', 'استان', 'عمومی', 'مازندران', 'سرمستاستاندار', 'حسینی', 'رساند', 'استحضار', 'انقلاب', 'خیز']","['بسمه تعالی جناب آقای دکتر مرتضوی استاندار محترم استان اصفهان با سلام و احترام همان\u200cگونه که حضرتعالی ', 'بسم الله الرحمن الرحیم استاندار محترم استان مرکزی سلام علیکم جناب آقای استاندار محترم اینجانبان امضا', 'جناب آقای دکتر حسینی پور استاندار محترم استان مازندران با سلام و احترامبه استحضار می\u200cرساند منطقه جاد']"
15,14,92,14_ابراهیم_رئیسیریاست_سید_والمسلمین,"['ابراهیم', 'رئیسیریاست', 'سید', 'والمسلمین', 'حجت', 'الاسلام', 'ایران', 'جمهوری', 'رئیسی', 'اسلامی']","['جناب حجت الاسلام والمسلمین سید ابراهیم رئیسیریاست محترم جمهوری اسلامی ایران با سلامما، امضاکنندگان ا', 'جناب حجت الاسلام والمسلمین سید ابراهیم رئیسیریاست محترم جمهوری اسلامی ایران با سلام اینجانبان جمعی ا', 'جناب حجت الاسلام والمسلمین سید ابراهیم رئیسیریاست محترم جمهوری اسلامی ایران با سلام ما، امضاکنندگان ']"
16,15,92,15_رئیس_قضائیه_ریاست_نمایندگان,"['رئیس', 'قضائیه', 'ریاست', 'نمایندگان', 'قوه', 'جمهور', 'رئيس', 'سازمان', 'مجلس', 'اداری']","['رئيس محترم دفتر مقام معظم رهبری رئیس محترم جمهور رئیس محترم مجلس شورای اسلامی رئیس محترم قوه قضائیه ', 'ریاست محترم جمهور ریاست محترم مجلس شورای اسلامی ریاست محترم قوه\u200cی قضائیه کشور وزیر محترم کشور سلام ب', 'رئیس محترم جمهور رئیس و نمایندگان محترم مجلس شورای اسلامی رئیس محترم سازمان اداری و استخدامی کشور با']"
17,16,82,16_قالیباف_رئیسی_ایران_اسلامی,"['قالیباف', 'رئیسی', 'ایران', 'اسلامی', 'جمهوری', 'رئیسیرئیس', 'جناب', 'مجلس', 'رئیسیریاست', 'سلا']","['جناب آقای رئیسی ریاست محترم جمهوری اسلامی ایران جناب آقای قالیباف ریاست محترم مجلس شورای اسلامی جناب', 'جناب آقای رئیسی ریاست محترم جمهوری اسلامی ایران جناب آقای قالیباف ریاست محترم مجلس شورای اسلامی جناب', 'جناب آقای رئیسی ریاست محترم جمهوری اسلامی ایران جناب آقای قالیباف ریاست محترم مجلس شورای اسلامی جناب']"
