,Topic,Count,Name,Representation,Representative_Docs
0,-1,4743,-1_در_درخواست_به_های,"['در', 'درخواست', 'به', 'های', 'از', 'اعتراض', 'برای', 'دانشگاه', 'با', 'آزمون']","['  درخواست لغو قانون عدم اعمال مدرک تحصیلی دوم کارکنان دولت، فرهنگیان', '  اعتراض و مخالفت با برگزاری امتحانات حضوری ورودی\u200cهای ۹۹ دانشگاه فرهنگیان', '  تقاضای تعویق زمان برگزاری آزمون استخدامی دانشگاه\u200cهای علوم پزشکی کشور']"
1,0,238,0_جاده_آسفالت_تعریض_روستاهای,"['جاده', 'آسفالت', 'تعریض', 'روستاهای', 'راه', 'دوبانده', 'آباد', 'سوران', 'روستای', 'بهسازی']","['  درخواست ترمیم آسفالت جاده سبزوار به مشهد', '  درخواست بهسازی آسفالت جاده\u200cها', '  درخواست بازسازی آسفالت خیابان\u200cهای خرم\u200cآباد و جاده\u200cهای استان لرستان']"
2,1,146,1_مشکل_روستای_آب_اینترنت,"['مشکل', 'روستای', 'آب', 'اینترنت', 'شرب', 'رسیدگی', 'حل', 'پوشش', 'شهرستان', 'مشکلات']","['  درخواست رسیدگی به مشکل پوشش اینترنت روستای کاشکایی شهرستان مهرستان', '  درخواست رفع مشکل آب شرب روستای دهک', '  درخواست رسیدگی به مشکل پوشش اینترنت روستای گروک  بخش مرکزی شهرستان مهرستان']"
3,2,132,2_دانشجویان_دانشگاه_دانشکده_علوم,"['دانشجویان', 'دانشگاه', 'دانشکده', 'علوم', 'پزشکی', 'آزاد', 'خوابگاه', 'نور', 'پیام', 'استاد']","['  درخواست رسیدگی به مطالبه دانشجویان دانشگاه پیام نور', '  درخواست رسیدگی به مطالبات به حق دانشجویان دانشگاه آزاد اسلامی', '  درخواست دانشجویان دانشکده پزشکی دانشگاه علوم پزشکی اصفهان جهت اصلاح شیوه آموزش مجازی']"
4,3,130,3_احداث_بیمارستان_ساخت_ایجاد,"['احداث', 'بیمارستان', 'ساخت', 'ایجاد', 'استقرار', 'شهر', 'چمن', 'ورزشی', 'سالن', 'مصنوعی']","['  درخواست احداث زمین چمن مصنوعی در روستای نگر', '  درخواست احداث زمین چمن شهرستان آشتیان', '  درخواست احداث زمین فوتبال چمن مصنوعی در  روستای مورت']"
5,4,130,4_تبدیل_وضعیت_نیروهای_شرکتی,"['تبدیل', 'وضعیت', 'نیروهای', 'شرکتی', 'قراردادی', 'حجمی', 'شهرداری', 'پیمانی', 'مهرآفرین', 'کارکنان']","['  تقاضای تبدیل وضعیت نیروهای شرکتی', '  درخواست تبدیل وضعیت نیروهای شرکتی', '  درخواست تبدیل وضعیت نیروهای شرکتی']"
6,5,128,5_انتخابات_دعوت_جمهوری_ریاست,"['انتخابات', 'دعوت', 'جمهوری', 'ریاست', 'حضور', 'کاندیداتوری', 'دکتر', 'جلیلی', 'آیت', 'سعید']","['  دعوت از آیت\u200cالله دکتر رئیسی جهت شرکت در انتخابات ریاست جمهوری ۱۴۰۰', '  دعوت از دکتر سعید جلیلی برای حضور در انتخابات ریاست جمهوری ۱۴۰۰', '  دعوت از دکتر سعید جلیلی برای حضور در انتخابات ریاست جمهوری']"
7,6,126,6_حمایت_از_سهامداران_جامعه,"['حمایت', 'از', 'سهامداران', 'جامعه', 'بورس', 'بیماران', 'مستأجرین', 'صدای', 'مادری', 'کسبه']","['  درخواست حمایت از بیماران خاص', '  درخواست حمایت از سهامداران بورس', '  درخواست حمایت از سهامداران بورس سال ۹۹']"
8,7,125,7_معدن_جلوگیری_تاریخی_تخریب,"['معدن', 'جلوگیری', 'تاریخی', 'تخریب', 'حریم', 'بافت', 'احداث', 'منطقه', 'سنگ', 'کوه']","['  درخواست ثبت ملی بافت تاریخی شیراز', '  درخواست جلوگیری از تخریب\u200cهای گسترده و سازمان یافته در بافت تاریخی کاشان', '  تقاضای جلوگیری از ساخت و ساز و تجاوز به حریم منظر خانه تاریخی بروجردی\u200cهای کاشان']"
9,8,110,8_مهندسی_تعرفه_نظام_ساختمان,"['مهندسی', 'تعرفه', 'نظام', 'ساختمان', 'خدمات', 'الزحمه', 'سازمان', 'ساختار', 'شکست', 'ارجاع']","['  اعتراض به حق\u200cالزحمه نظام مهندسی کشور', '  درخواست تعیین تعرفه خدمات مهندسی ساختمان برای سال ۱۴۰۱', '  درخواست اصلاح تعرفه\u200cهای مهندسین سازمان نظام مهندسی']"
